t,loss,phase,noise
0.0,21.619443893432617,NF1,0.0
0.0,21.883607864379883,NF2,0.0
0.0499999999999999,21.67380714416504,NF1,0.0
0.0499999999999999,21.908035278320312,NF2,0.0
0.0999999999999999,21.703096389770508,NF1,0.0
0.0999999999999999,21.865503311157227,NF2,0.0
0.15,21.68138313293457,NF1,0.0
0.15,21.91480255126953,NF2,0.0
0.1999999999999999,21.73692512512207,NF1,0.0
0.1999999999999999,21.91903686523437,NF2,0.0
0.2499999999999999,21.65702247619629,NF1,0.0
0.2499999999999999,21.9599552154541,NF2,0.0
0.3,21.685232162475582,NF1,0.0
0.3,21.893945693969727,NF2,0.0
0.35,21.75602912902832,NF1,0.0
0.35,21.824886322021484,NF2,0.0
0.3999999999999999,21.719898223876957,NF1,0.0
0.3999999999999999,21.85209274291992,NF2,0.0
0.4499999999999999,21.704742431640625,NF1,0.0
0.4499999999999999,21.93675804138184,NF2,0.0
0.4999999999999999,21.661937713623047,NF1,0.0
0.4999999999999999,21.933034896850582,NF2,0.0
0.5499999999999999,21.71713256835937,NF1,0.0
0.5499999999999999,21.855098724365234,NF2,0.0
0.6,21.681833267211918,NF1,0.0
0.6,21.940454483032227,NF2,0.0
0.6499999999999999,21.592113494873047,NF1,0.0
0.6499999999999999,21.920957565307617,NF2,0.0
0.7,21.663475036621094,NF1,0.0
0.7,21.97079849243164,NF2,0.0
0.7499999999999999,21.70325088500977,NF1,0.0
0.7499999999999999,21.91648292541504,NF2,0.0
0.7999999999999999,21.74597930908203,NF1,0.0
0.7999999999999999,21.96029090881348,NF2,0.0
0.85,21.71391868591309,NF1,0.0
0.85,21.96009063720703,NF2,0.0
0.8999999999999999,21.70208740234375,NF1,0.0
0.8999999999999999,21.894493103027344,NF2,0.0
0.95,21.72743797302246,NF1,0.0
0.95,21.93412399291992,NF2,0.0
0.0,21.768674850463867,NF1,0.1
0.0,21.94490623474121,NF2,0.1
0.0499999999999999,21.768896102905277,NF1,0.1
0.0499999999999999,22.052846908569336,NF2,0.1
0.0999999999999999,22.20541000366211,NF1,0.1
0.0999999999999999,22.29865837097168,NF2,0.1
0.15,24.19114112854004,NF1,0.1
0.15,23.771764755249023,NF2,0.1
0.1999999999999999,29.390775680541992,NF1,0.1
0.1999999999999999,27.988399505615234,NF2,0.1
0.2499999999999999,28.208797454833984,NF1,0.1
0.2499999999999999,28.39564323425293,NF2,0.1
0.3,26.644102096557617,NF1,0.1
0.3,27.706663131713867,NF2,0.1
0.35,33.82356643676758,NF1,0.1
0.35,34.365718841552734,NF2,0.1
0.3999999999999999,31.911865234375,NF1,0.1
0.3999999999999999,35.56817626953125,NF2,0.1
0.4499999999999999,32.74264907836914,NF1,0.1
0.4499999999999999,31.00315284729004,NF2,0.1
0.4999999999999999,29.6479549407959,NF1,0.1
0.4999999999999999,28.716650009155277,NF2,0.1
0.5499999999999999,30.59304618835449,NF1,0.1
0.5499999999999999,32.60565185546875,NF2,0.1
0.6,28.8844051361084,NF1,0.1
0.6,32.38899612426758,NF2,0.1
0.6499999999999999,29.633684158325195,NF1,0.1
0.6499999999999999,30.152809143066406,NF2,0.1
0.7,28.197723388671875,NF1,0.1
0.7,26.78013610839844,NF2,0.1
0.7499999999999999,25.820411682128903,NF1,0.1
0.7499999999999999,24.74368476867676,NF2,0.1
0.7999999999999999,27.726449966430664,NF1,0.1
0.7999999999999999,28.788747787475582,NF2,0.1
0.85,22.80596923828125,NF1,0.1
0.85,24.56147575378418,NF2,0.1
0.8999999999999999,22.245925903320312,NF1,0.1
0.8999999999999999,22.22279930114746,NF2,0.1
0.95,21.69957160949707,NF1,0.1
0.95,21.953941345214844,NF2,0.1
0.0,21.79114532470703,NF1,0.0
0.0,21.89444351196289,NF2,0.0
0.0499999999999999,21.734203338623047,NF1,0.0
0.0499999999999999,21.95359230041504,NF2,0.0
0.0999999999999999,21.701345443725582,NF1,0.0
0.0999999999999999,21.870065689086918,NF2,0.0
0.15,21.7031307220459,NF1,0.0
0.15,21.89865493774414,NF2,0.0
0.1999999999999999,21.67354393005371,NF1,0.0
0.1999999999999999,21.88178062438965,NF2,0.0
0.2499999999999999,21.680164337158203,NF1,0.0
0.2499999999999999,21.88370132446289,NF2,0.0
0.3,21.65798568725586,NF1,0.0
0.3,21.89368057250977,NF2,0.0
0.35,21.76662826538086,NF1,0.0
0.35,21.93115997314453,NF2,0.0
0.3999999999999999,21.65975379943848,NF1,0.0
0.3999999999999999,21.872800827026367,NF2,0.0
0.4499999999999999,21.69104766845703,NF1,0.0
0.4499999999999999,21.897783279418945,NF2,0.0
0.4999999999999999,21.69077491760254,NF1,0.0
0.4999999999999999,21.879714965820312,NF2,0.0
0.5499999999999999,21.70006561279297,NF1,0.0
0.5499999999999999,21.894540786743164,NF2,0.0
0.6,21.6678524017334,NF1,0.0
0.6,21.923046112060547,NF2,0.0
0.6499999999999999,21.64608764648437,NF1,0.0
0.6499999999999999,21.895605087280277,NF2,0.0
0.7,21.78460121154785,NF1,0.0
0.7,21.933683395385746,NF2,0.0
0.7499999999999999,21.66950225830078,NF1,0.0
0.7499999999999999,21.951669692993164,NF2,0.0
0.7999999999999999,21.680910110473636,NF1,0.0
0.7999999999999999,21.848875045776367,NF2,0.0
0.85,21.70142936706543,NF1,0.0
0.85,21.906818389892575,NF2,0.0
0.8999999999999999,21.741355895996094,NF1,0.0
0.8999999999999999,21.84385871887207,NF2,0.0
0.95,21.734867095947266,NF1,0.0
0.95,21.910682678222656,NF2,0.0
0.0,21.733613967895508,NF1,0.1
0.0,21.832305908203125,NF2,0.1
0.0499999999999999,21.79708671569824,NF1,0.1
0.0499999999999999,22.09256362915039,NF2,0.1
0.0999999999999999,22.61276626586914,NF1,0.1
0.0999999999999999,22.42380142211914,NF2,0.1
0.15,24.04159164428711,NF1,0.1
0.15,21.32059669494629,NF2,0.1
0.1999999999999999,26.80759048461914,NF1,0.1
0.1999999999999999,25.829753875732425,NF2,0.1
0.2499999999999999,27.75574493408203,NF1,0.1
0.2499999999999999,27.022029876708984,NF2,0.1
0.3,42.46937942504883,NF1,0.1
0.3,31.818452835083008,NF2,0.1
0.35,32.49256896972656,NF1,0.1
0.35,31.78719520568848,NF2,0.1
0.3999999999999999,32.4085807800293,NF1,0.1
0.3999999999999999,31.44066047668457,NF2,0.1
0.4499999999999999,28.808320999145508,NF1,0.1
0.4499999999999999,29.73546028137207,NF2,0.1
0.4999999999999999,28.67830848693848,NF1,0.1
0.4999999999999999,27.615158081054688,NF2,0.1
0.5499999999999999,28.58523368835449,NF1,0.1
0.5499999999999999,28.462491989135746,NF2,0.1
0.6,29.03622436523437,NF1,0.1
0.6,28.791147232055664,NF2,0.1
0.6499999999999999,30.59986114501953,NF1,0.1
0.6499999999999999,31.09987068176269,NF2,0.1
0.7,26.920276641845703,NF1,0.1
0.7,29.69756126403809,NF2,0.1
0.7499999999999999,28.33690643310547,NF1,0.1
0.7499999999999999,26.38285255432129,NF2,0.1
0.7999999999999999,24.72511482238769,NF1,0.1
0.7999999999999999,25.924945831298828,NF2,0.1
0.85,24.70537567138672,NF1,0.1
0.85,23.305559158325195,NF2,0.1
0.8999999999999999,22.143325805664062,NF1,0.1
0.8999999999999999,22.603275299072266,NF2,0.1
0.95,21.71213150024414,NF1,0.1
0.95,22.02108383178711,NF2,0.1
0.0,21.662107467651367,NF1,0.0
0.0,21.95429801940918,NF2,0.0
0.0499999999999999,21.640426635742188,NF1,0.0
0.0499999999999999,21.904335021972656,NF2,0.0
0.0999999999999999,21.685806274414062,NF1,0.0
0.0999999999999999,21.98209571838379,NF2,0.0
0.15,21.6059627532959,NF1,0.0
0.15,21.85481071472168,NF2,0.0
0.1999999999999999,21.669178009033203,NF1,0.0
0.1999999999999999,21.861297607421875,NF2,0.0
0.2499999999999999,21.686359405517575,NF1,0.0
0.2499999999999999,21.87647247314453,NF2,0.0
0.3,21.80158233642578,NF1,0.0
0.3,21.921199798583984,NF2,0.0
0.35,21.63170623779297,NF1,0.0
0.35,21.87429428100586,NF2,0.0
0.3999999999999999,21.704496383666992,NF1,0.0
0.3999999999999999,21.96091651916504,NF2,0.0
0.4499999999999999,21.730388641357425,NF1,0.0
0.4499999999999999,21.92076873779297,NF2,0.0
0.4999999999999999,21.70845031738281,NF1,0.0
0.4999999999999999,21.970382690429688,NF2,0.0
0.5499999999999999,21.716318130493164,NF1,0.0
0.5499999999999999,21.901931762695312,NF2,0.0
0.6,21.675800323486328,NF1,0.0
0.6,21.9000244140625,NF2,0.0
0.6499999999999999,21.69168472290039,NF1,0.0
0.6499999999999999,21.87810707092285,NF2,0.0
0.7,21.741844177246094,NF1,0.0
0.7,21.877765655517575,NF2,0.0
0.7499999999999999,21.671777725219727,NF1,0.0
0.7499999999999999,21.98618698120117,NF2,0.0
0.7999999999999999,21.654687881469727,NF1,0.0
0.7999999999999999,21.921566009521484,NF2,0.0
0.85,21.69851875305176,NF1,0.0
0.85,21.90691947937012,NF2,0.0
0.8999999999999999,21.666587829589844,NF1,0.0
0.8999999999999999,21.93307876586914,NF2,0.0
0.95,21.69784164428711,NF1,0.0
0.95,21.87904167175293,NF2,0.0
0.0,21.660518646240234,NF1,0.1
0.0,21.954307556152344,NF2,0.1
0.0499999999999999,22.05693626403809,NF1,0.1
0.0499999999999999,22.001861572265625,NF2,0.1
0.0999999999999999,21.791231155395508,NF1,0.1
0.0999999999999999,22.360801696777344,NF2,0.1
0.15,25.36549568176269,NF1,0.1
0.15,25.07970428466797,NF2,0.1
0.1999999999999999,26.979434967041016,NF1,0.1
0.1999999999999999,32.12419891357422,NF2,0.1
0.2499999999999999,25.727527618408203,NF1,0.1
0.2499999999999999,31.23847007751465,NF2,0.1
0.3,29.61728286743164,NF1,0.1
0.3,31.412378311157227,NF2,0.1
0.35,27.02811622619629,NF1,0.1
0.35,28.86501693725586,NF2,0.1
0.3999999999999999,31.18559455871582,NF1,0.1
0.3999999999999999,33.04972076416016,NF2,0.1
0.4499999999999999,28.529285430908203,NF1,0.1
0.4499999999999999,28.865812301635746,NF2,0.1
0.4999999999999999,30.680835723876957,NF1,0.1
