t,loss,phase,noise
0.0,22.172534942626957,NF1,0.0
0.0,22.19945907592773,NF2,0.0
0.0499999999999999,22.13915634155273,NF1,0.0
0.0499999999999999,22.15007209777832,NF2,0.0
0.0999999999999999,22.088926315307617,NF1,0.0
0.0999999999999999,22.146318435668945,NF2,0.0
0.15,22.16773223876953,NF1,0.0
0.15,22.18376922607422,NF2,0.0
0.1999999999999999,22.14617729187012,NF1,0.0
0.1999999999999999,22.12213516235352,NF2,0.0
0.2499999999999999,22.183826446533203,NF1,0.0
0.2499999999999999,22.160438537597656,NF2,0.0
0.3,22.16638565063477,NF1,0.0
0.3,22.12689781188965,NF2,0.0
0.35,22.164325714111328,NF1,0.0
0.35,22.17813873291016,NF2,0.0
0.3999999999999999,22.27836799621582,NF1,0.0
0.3999999999999999,22.138324737548828,NF2,0.0
0.4499999999999999,22.21958351135254,NF1,0.0
0.4499999999999999,22.167818069458008,NF2,0.0
0.4999999999999999,22.16102600097656,NF1,0.0
0.4999999999999999,22.10961151123047,NF2,0.0
0.5499999999999999,22.125118255615234,NF1,0.0
0.5499999999999999,22.218265533447266,NF2,0.0
0.6,22.158981323242188,NF1,0.0
0.6,22.21172142028809,NF2,0.0
0.6499999999999999,22.199859619140625,NF1,0.0
0.6499999999999999,22.172237396240234,NF2,0.0
0.7,22.18844223022461,NF1,0.0
0.7,22.18161392211914,NF2,0.0
0.7499999999999999,22.17613983154297,NF1,0.0
0.7499999999999999,22.161510467529297,NF2,0.0
0.7999999999999999,22.231908798217773,NF1,0.0
0.7999999999999999,22.12703895568848,NF2,0.0
0.85,22.1982536315918,NF1,0.0
0.85,22.1333122253418,NF2,0.0
0.8999999999999999,22.135459899902344,NF1,0.0
0.8999999999999999,22.15193748474121,NF2,0.0
0.95,22.09525680541992,NF1,0.0
0.95,22.162158966064453,NF2,0.0
0.0,22.226072311401367,NF1,0.5
0.0,22.12438201904297,NF2,0.5
0.0499999999999999,22.198949813842773,NF1,0.5
0.0499999999999999,22.06317710876465,NF2,0.5
0.0999999999999999,22.39480400085449,NF1,0.5
0.0999999999999999,22.2849178314209,NF2,0.5
0.15,23.446889877319336,NF1,0.5
0.15,23.382238388061523,NF2,0.5
0.1999999999999999,23.671951293945312,NF1,0.5
0.1999999999999999,22.78468513488769,NF2,0.5
0.2499999999999999,24.82351303100586,NF1,0.5
0.2499999999999999,26.022645950317383,NF2,0.5
0.3,25.55811882019043,NF1,0.5
0.3,27.51932144165039,NF2,0.5
0.35,29.81761932373047,NF1,0.5
0.35,27.30643844604492,NF2,0.5
0.3999999999999999,25.718055725097656,NF1,0.5
0.3999999999999999,26.52980613708496,NF2,0.5
0.4499999999999999,26.373779296875,NF1,0.5
0.4499999999999999,26.312549591064453,NF2,0.5
0.4999999999999999,27.597309112548828,NF1,0.5
0.4999999999999999,26.029865264892575,NF2,0.5
0.5499999999999999,25.33810234069824,NF1,0.5
0.5499999999999999,25.115375518798828,NF2,0.5
0.6,24.136653900146484,NF1,0.5
0.6,25.823450088500977,NF2,0.5
0.6499999999999999,25.554893493652344,NF1,0.5
0.6499999999999999,26.16512107849121,NF2,0.5
0.7,23.931724548339844,NF1,0.5
0.7,25.161327362060547,NF2,0.5
0.7499999999999999,25.3937931060791,NF1,0.5
0.7499999999999999,24.785400390625,NF2,0.5
0.7999999999999999,23.826377868652344,NF1,0.5
0.7999999999999999,23.956222534179688,NF2,0.5
0.85,23.02444076538086,NF1,0.5
0.85,23.378572463989254,NF2,0.5
0.8999999999999999,22.21097755432129,NF1,0.5
0.8999999999999999,22.298751831054688,NF2,0.5
0.95,22.18687438964844,NF1,0.5
0.95,22.140241622924805,NF2,0.5
0.0,22.203937530517575,NF1,0.0
0.0,22.16039657592773,NF2,0.0
0.0499999999999999,22.196245193481445,NF1,0.0
0.0499999999999999,22.081863403320312,NF2,0.0
0.0999999999999999,22.138158798217773,NF1,0.0
0.0999999999999999,22.20250129699707,NF2,0.0
0.15,22.198719024658203,NF1,0.0
0.15,22.12150382995605,NF2,0.0
0.1999999999999999,22.085187911987305,NF1,0.0
0.1999999999999999,22.13813018798828,NF2,0.0
0.2499999999999999,22.18843460083008,NF1,0.0
0.2499999999999999,22.14239501953125,NF2,0.0
0.3,22.20311546325684,NF1,0.0
0.3,22.137678146362305,NF2,0.0
0.35,22.13678550720215,NF1,0.0
0.35,22.12766456604004,NF2,0.0
0.3999999999999999,22.215576171875,NF1,0.0
0.3999999999999999,22.18180274963379,NF2,0.0
0.4499999999999999,22.12210273742676,NF1,0.0
0.4499999999999999,22.108213424682617,NF2,0.0
0.4999999999999999,22.18095970153809,NF1,0.0
0.4999999999999999,22.15729713439941,NF2,0.0
0.5499999999999999,22.139318466186523,NF1,0.0
0.5499999999999999,22.18181610107422,NF2,0.0
0.6,22.16509437561035,NF1,0.0
0.6,22.088512420654297,NF2,0.0
0.6499999999999999,22.125389099121094,NF1,0.0
0.6499999999999999,22.123083114624023,NF2,0.0
0.7,22.166290283203125,NF1,0.0
0.7,22.161237716674805,NF2,0.0
0.7499999999999999,22.28215980529785,NF1,0.0
0.7499999999999999,22.15195846557617,NF2,0.0
0.7999999999999999,22.17117118835449,NF1,0.0
0.7999999999999999,22.1795654296875,NF2,0.0
0.85,22.19165802001953,NF1,0.0
0.85,22.06240463256836,NF2,0.0
0.8999999999999999,22.212196350097656,NF1,0.0
0.8999999999999999,22.167068481445312,NF2,0.0
0.95,22.1524658203125,NF1,0.0
0.95,22.173030853271484,NF2,0.0
0.0,22.119354248046875,NF1,0.5
0.0,22.175350189208984,NF2,0.5
0.0499999999999999,22.255266189575195,NF1,0.5
0.0499999999999999,22.184770584106445,NF2,0.5
0.0999999999999999,22.44620704650879,NF1,0.5
0.0999999999999999,22.33713150024414,NF2,0.5
0.15,23.11822891235352,NF1,0.5
0.15,25.07822036743164,NF2,0.5
0.1999999999999999,22.92184829711914,NF1,0.5
0.1999999999999999,24.169721603393555,NF2,0.5
0.2499999999999999,23.982765197753903,NF1,0.5
0.2499999999999999,23.267139434814453,NF2,0.5
0.3,27.433324813842773,NF1,0.5
0.3,23.88871192932129,NF2,0.5
0.35,28.312360763549805,NF1,0.5
0.35,29.292667388916016,NF2,0.5
0.3999999999999999,27.20186424255371,NF1,0.5
0.3999999999999999,26.75339698791504,NF2,0.5
0.4499999999999999,26.527328491210938,NF1,0.5
0.4499999999999999,25.175033569335938,NF2,0.5
